 Name                Version      License                              
 boto3               1.34.0       Apache Software License              
 botocore            1.34.162     Apache Software License              
 certifi             2025.6.15    Mozilla Public License 2.0 (MPL 2.0) 
 charset-normalizer  3.4.2        MIT License                          
 idna                3.10         BSD License                          
 jmespath            1.0.1        MIT License                          
 python-dateutil     2.9.0.post0  Apache Software License; BSD License 
 requests            2.31.0       Apache Software License              
 s3transfer          0.9.0        Apache Software License              
 six                 1.17.0       MIT License                          
 typing_extensions   4.8.0        Python Software Foundation License   
 urllib3             2.5.0        UNKNOWN                              
